,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
159,0.0,False,False,0.4509519666299322,0.24047254425463505,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.2876712328767124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1571,0.2391304347826093,False,False,0.3432223695890225,0.15054605237762594,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.4821917808219178,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2150,0.5434782608695699,False,False,0.34793984242860704,0.14680688469774544,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.10684931506849314,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1363,0.1739130434782652,False,False,0.4852972921446469,0.31867422655648525,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.5205479452054794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2160,0.5434782608695699,False,False,0.4856447298931258,0.1610601358583677,True,True,True,False,False,0.01,0.2,False,0.0,0.0,0.0,0.0,0.2356164383561644,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1836,0.3478260869565233,False,False,0.00013820704541878115,0.345647385211564,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.013698630136986304,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
536,0.021739130434788482,False,False,0.3410858781201605,0.15377322760532114,True,True,True,False,False,0.015,0.1,False,0.0014461315979754155,0.0,0.0,0.0,0.2493150684931507,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1932,0.3913043478260931,False,False,0.005816984771153777,0.3489662797522122,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.5561643835616439,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2496,0.7391304347826093,False,False,0.3734863629670317,0.2293096038310565,True,True,True,False,False,0.005,0.1,False,0.0,0.0,0.0,0.0,0.2493150684931507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1290,0.15217391304348382,False,False,0.4852972921446469,0.31867422655648525,True,True,True,False,False,0.01,0.1,False,0.0,0.0,0.0,0.0,0.7753424657534247,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
