,iyear,extended,vicinity,latitude,longitude,crit1,crit2,crit3,suicide,individual,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,propextent,dayn,attacktype1_1,attacktype1_2,attacktype1_3,attacktype1_4,attacktype1_5,attacktype1_6,attacktype1_7,attacktype1_8,attacktype1_9,targtype1_1,targtype1_2,targtype1_3,targtype1_4,targtype1_5,targtype1_6,targtype1_7,targtype1_8,targtype1_9,targtype1_10,targtype1_11,targtype1_12,targtype1_13,targtype1_14,targtype1_15,targtype1_16,targtype1_17,targtype1_18,targtype1_19,targtype1_20,targtype1_21,targtype1_22,claimmode_1,claimmode_2,claimmode_3,claimmode_4,claimmode_5,claimmode_6,claimmode_7,claimmode_8,claimmode_9,claimmode_10
23,1970,False,False,42.46634,-96.41405,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1970,False,False,25.720851,-80.277857,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,1970,False,False,39.748783,-105.022136,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,1970,False,False,45.511795,-122.675629,True,True,True,False,False,1.0,1.0,False,0.0,0.0,0.0,0.0,3.0,32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1970,False,False,37.005105,-89.17626899999999,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,1970,False,False,41.084195,-81.514059,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,1970,False,False,39.74001,-104.992259,True,True,True,False,False,3.0,1.0,False,0.0,0.0,0.0,0.0,3.0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33,1970,False,False,47.608758,-122.329439,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,1970,False,False,47.603559999999995,-122.329439,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1970,False,False,42.3505,-71.105399,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,3.0,37,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,1970,False,False,42.838355,-88.743224,True,True,True,False,False,2.0,1.0,False,0.0,0.0,0.0,0.0,2.0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1970,False,False,40.751212,-73.903649,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,3.0,39,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,1970,False,False,40.678178,-73.944158,True,True,True,False,False,2.0,1.0,True,0.0,0.0,0.0,0.0,3.0,39,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
